ranking,kills,deaths,assists,goldEarned,gameDuration,teamPosition
2,11,6,12,19012,2595,3
3,5,8,17,12873,2595,4
3,3,9,10,10106,2010,0
3,11,6,9,14753,2010,1
5,5,6,9,14603,2010,2
4,6,6,2,12819,2010,3
2,10,6,3,10388,2010,4
5,6,9,8,11492,1841,0
1,18,3,18,18105,1841,1
3,5,9,14,10807,1841,2
2,21,8,11,18479,1841,3
4,1,2,33,10088,1841,4
3,7,12,12,17802,2479,0
2,8,10,20,19036,2479,1
4,12,8,8,16418,2479,2
1,23,8,12,23921,2479,3
5,6,15,20,13846,2479,4
2,8,3,14,13502,2054,0
3,4,7,20,14425,2054,1
5,0,9,10,11600,2054,2
4,8,7,11,13769,2054,3
1,19,6,13,15911,2054,4
3,3,2,6,9191,1455,0
1,11,3,6,12191,1455,1
5,4,8,5,8079,1455,2
2,8,3,6,11958,1455,3
4,3,2,11,8175,1455,4
3,6,6,7,12490,1721,0
4,11,5,5,12718,1721,1
2,8,2,4,12940,1721,2
1,10,2,6,13216,1721,3
5,2,4,16,8916,1721,4
3,4,11,5,12453,2170,0
1,7,7,8,15877,2170,1
4,9,8,4,15162,2170,2
5,3,10,3,12183,2170,3
2,4,6,10,11103,2170,4
4,6,8,7,12284,1913,0
2,6,5,13,13032,1913,1
1,14,6,10,13379,1913,2
5,3,4,7,9743,1913,3
3,9,12,10,11687,1913,4
5,3,2,0,5403,914,0
4,3,1,4,6167,914,1
2,7,2,0,7425,914,2
1,9,0,2,6991,914,3
3,1,0,9,4954,914,4
2,5,2,8,11841,1388,0
1,10,6,5,10714,1388,1
5,1,3,3,7851,1388,2
4,10,5,9,10407,1388,3
3,2,0,20,7690,1388,4
1,22,7,11,21066,2124,0
5,7,10,13,13447,2124,1
3,10,4,14,13614,2124,2
4,7,10,12,14402,2124,3
3,9,6,20,12272,2124,4
5,3,10,1,7036,1364,0
1,10,6,0,9542,1364,1
3,4,4,0,7968,1364,2
4,2,8,2,6272,1364,3
2,3,7,10,6310,1364,4
1,11,9,12,19442,2520,0
2,16,11,15,20421,2520,1
4,2,7,21,15587,2520,2
3,19,7,15,22671,2520,3
5,5,14,21,11286,2520,4
1,3,3,4,11432,1657,0
4,4,9,4,10413,1657,1
5,5,12,3,10218,1657,2
2,5,7,4,9995,1657,3
3,1,8,5,6077,1657,4
4,2,2,5,8728,1372,0
3,6,4,2,8964,1372,1
5,1,5,3,7155,1372,2
2,10,5,4,12767,1372,3
1,3,4,10,6883,1372,4
4,0,7,3,6498,1708,0
2,4,6,4,10473,1708,1
1,5,6,3,10232,1708,2
5,4,5,2,13991,1708,3
3,0,7,6,6470,1708,4
1,5,4,4,10079,1656,0
3,5,5,4,11414,1656,1
5,5,16,1,9863,1656,2
2,3,5,3,9607,1656,3
4,1,8,3,7089,1656,4
1,7,9,7,13683,2014,0
4,6,8,7,12843,2014,1
5,10,13,5,11953,2014,2
3,8,10,5,15737,2014,3
2,1,5,18,8671,2014,4
2,8,3,24,15812,2231,0
1,13,6,10,16932,2231,1
3,16,5,7,16860,2231,2
4,9,11,15,14924,2231,3
5,3,13,16,10348,2231,4
4,9,11,7,13051,2132,0
1,15,7,9,16540,2132,1
5,6,7,4,13108,2132,2
2,11,8,15,14692,2132,3
3,4,5,26,12383,2132,4
