ranking,kills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,6,13394,5911,11499,2,3,0,0,0,0,0,15313,0,0,0,0,0,29532,0,16937,2381,0,161,7,46,0,18,1,3,1750
4,4,9,10381,664,2681,8,0,0,0,0,0,0,8590,0,0,0,0,0,13115,0,23916,2280,0,53,18,233,0,29,1,4,1750
5,1,10,13688,982,982,6,0,0,0,1,0,0,8679,1,1,0,0,0,11553,0,19809,1386,0,136,35,159,0,14,1,0,1530
4,4,6,14011,0,38608,6,0,4,0,0,0,0,10924,0,0,0,0,0,12745,0,36273,15655,0,20,23,169,0,10,1,1,1530
1,16,3,15675,10579,11808,3,4,0,0,0,0,0,15135,1,1,0,0,0,26339,0,14993,1270,0,197,22,82,2,20,1,2,1530
2,8,9,12175,8632,25119,2,2,0,0,0,1,0,12873,1,1,0,0,0,16609,0,14843,4665,723,192,12,36,0,17,1,3,1530
3,3,8,9698,1412,9647,5,0,0,0,0,0,0,8633,0,0,0,0,0,15357,0,18331,4354,0,20,12,135,0,46,1,4,1530
3,6,7,15932,961,1778,5,1,0,0,0,0,0,12279,0,0,0,0,0,18921,0,29658,3143,0,203,67,174,0,20,0,0,1898
5,4,7,12181,0,3848,13,0,0,0,1,0,0,9949,0,0,0,0,0,12770,0,39530,12541,0,34,21,361,0,12,0,1,1898
1,17,4,15450,0,658,11,1,0,0,0,0,0,14591,0,0,0,0,0,33991,0,33695,1574,0,135,28,453,0,24,0,2,1898
4,6,3,12392,6528,9419,10,1,0,0,0,0,1,11424,0,0,0,0,0,15876,0,23686,2274,0,168,1,296,0,13,0,3,1898
2,14,11,11316,362,884,14,1,0,1,0,0,0,11798,0,0,0,0,0,32058,0,34991,7167,0,15,17,394,0,31,0,4,1898
1,10,5,13695,215,5692,14,1,0,0,0,0,0,12849,0,0,0,0,0,31488,0,35712,7167,0,168,6,429,0,9,0,0,1868
3,12,6,13738,0,23773,3,0,2,0,0,0,0,12547,0,0,0,0,0,14056,0,28551,11353,0,18,14,94,0,20,0,1,1868
4,6,7,14932,1165,3811,4,0,0,0,0,0,0,11033,0,0,0,0,0,19917,3698,19991,1934,0,184,18,128,0,27,0,2,1868
5,8,10,16375,2417,6106,9,0,0,0,0,0,0,12879,0,0,0,0,0,20187,0,28710,3379,0,163,11,258,0,14,0,3,1868
2,2,15,11220,3624,9957,8,0,0,0,0,0,0,10478,0,0,0,0,0,18337,0,21107,3738,0,54,20,175,0,59,0,4,1868
5,6,19,19214,1692,8832,11,0,0,0,0,0,0,14454,0,1,0,0,0,29753,0,42651,10733,0,147,11,389,0,42,1,0,2318
4,17,11,19043,2559,24257,8,2,1,0,0,0,0,16929,0,0,0,0,0,38865,0,47824,22843,0,17,12,284,0,10,1,1,2318
1,26,15,20920,2353,22402,12,2,1,0,1,0,0,21522,1,1,0,0,0,57986,0,40385,5553,0,203,11,434,0,17,1,2,2318
2,15,21,21297,6067,49289,5,3,1,0,0,0,0,19468,0,1,0,0,0,37160,0,32827,14339,0,226,13,178,0,30,1,3,2318
3,3,34,16205,821,2118,6,0,0,0,0,0,0,12141,0,1,0,0,0,22848,0,29174,8485,1623,45,93,217,0,77,1,4,2318
3,3,13,17478,4539,13660,6,0,0,0,0,0,0,12114,0,1,0,0,0,28761,0,45331,10391,0,138,30,219,0,39,1,0,2073
2,10,19,20417,47,26860,5,0,2,0,0,0,0,15790,0,0,0,0,0,30206,0,45489,23723,0,34,62,161,0,16,1,1,2073
1,19,9,20057,4926,35103,5,5,1,0,1,0,0,21037,1,1,0,0,0,52357,0,39158,16473,0,259,43,175,0,31,1,2,2073
4,3,12,14437,3207,3207,10,0,0,0,0,0,0,10556,1,1,0,0,0,17742,0,27549,3523,0,152,0,335,0,11,1,3,2073
5,4,8,11434,1493,6793,12,1,1,0,0,0,0,8930,1,0,0,0,0,13022,0,23976,1915,618,20,17,313,0,58,1,4,2073
4,12,8,22849,8562,17791,12,0,0,0,0,0,0,17547,1,0,0,0,0,46301,0,56836,11819,0,213,21,449,0,53,0,0,2428
3,9,11,18901,2830,43150,12,0,1,0,0,0,1,17816,1,0,0,0,0,27498,0,55133,20748,0,69,32,506,0,24,0,1,2428
